StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
3876,  5531,  6840,, ,,,1.18065528,+67.78003781,57.4382538770821, 6.55,2.75399385558666,G0          , 0.553
3877,  5533,  6962,, ,,,1.18118074,+49.16438722,458.715596330275, 7.30,-1.00771753197697,K2          , 1.630
3878,  5534,  7047,, ,,,1.1817296,+09.56332494,39.6039603960396, 7.23,4.2413069122734,G0          , 0.568
3879,  5536,  6948,, ,,,1.1829766,+56.77441961,289.855072463768, 7.24,-0.0709045246336277,B9          ,-0.023
3882,  5539,  7093,, ,,,1.18379623,-18.80488171,140.449438202247, 7.15,1.41239996818428,K4III       , 1.496
3884,  5542,  6961, 343,, 33The Cas, ,1.18498074,+55.14994765,42.1407501053519, 4.34,1.2164886910867,A7Vvar      , 0.170
3886,  5544,  7034, 349,, 82    Psc, ,1.18521479,+31.42476555,171.821305841924, 5.15,-1.02538507675056,F0V         , 0.261
3888,  5550,  7019, 348,, 45    And, ,1.18619138,+37.72413814,280.898876404494, 5.80,-1.44275001013562,B7III-IV    ,-0.095
3890,  5551,  7011,, ,,,1.1862732,+46.18391354,239.808153477218, 6.60,-0.299319725131212,K5          , 1.600
3893,  5554,  7017,, ,,,1.1874775,+46.62984555,257.06940874036, 7.31,0.259748006628539,B9          ,-0.026
3895,  5559,  7122,, ,,,1.18813653,-13.50328311,256.410256410256, 7.10,0.0553230351324974,M3III       , 1.494
3897,  5566,  6960, 342,,          , ,1.19042126,+64.20272388,125.628140703518, 5.56,0.0645653386883458,B9.5V       ,-0.052
3898,  5571,  7087, 351,, 84Chi Psc, ,1.19088726,+21.03467568,134.770889487871, 4.66,-0.987980473604864,K0III       , 1.024
3900,  5575,  7107,, ,,,1.19137938,+10.29192297,126.262626262626, 6.49,0.983625907947468,G5          , 0.891
3903,  5578,  7134,, ,,,1.19224961,-12.84291544,40.5679513184584, 7.48,4.43908461806624,G1V         , 0.589
3904,  5579, ,, ,,,1.19278279,+32.52195180,37.3692077727952,10.33,7.46743054547893, ,      
3909,  5586,  7106, 352,, 83Tau Psc, ,1.19432964,+30.08972962,49.7265042267529, 4.51,1.02706035298371,K0III-IV... , 1.092
